Date,Title,Link,Provided,Bundle,BLink,YTPlaythrough,PlayTime
2012-10-04,Borderlands 2,http://www.overclockersclub.com/reviews/borderlands2_review/,FALSE,,,,29:40:00
2013-01-02,Humble Indie Bundle 7,http://www.overclockersclub.com/reviews/hib7_review/,FALSE,,,,
2013-01-02,Closure,http://www.overclockersclub.com/reviews/hib7_review/2.htm,FALSE,Humble Indie Bundle 7,http://www.overclockersclub.com/reviews/hib7_review/,,
2013-01-02,Legend of Grimrock,http://www.overclockersclub.com/reviews/hib7_review/3.htm,FALSE,Humble Indie Bundle 7,http://www.overclockersclub.com/reviews/hib7_review/,,
2013-01-02,Shank 2,http://www.overclockersclub.com/reviews/hib7_review/4.htm,FALSE,Humble Indie Bundle 7,http://www.overclockersclub.com/reviews/hib7_review/,,
2013-01-02,Snapshot,http://www.overclockersclub.com/reviews/hib7_review/5.htm,FALSE,Humble Indie Bundle 7,http://www.overclockersclub.com/reviews/hib7_review/,,
2013-01-02,The Binding of Isacc: Wrath of the Lamb,http://www.overclockersclub.com/reviews/hib7_review/6.htm,FALSE,Humble Indie Bundle 7,http://www.overclockersclub.com/reviews/hib7_review/,,
2013-02-17,NVIDIA Free-to-Play,http://www.overclockersclub.com/reviews/nvidiaf2preview/,FALSE,,,,
2013-02-17,Hawken,http://www.overclockersclub.com/reviews/nvidiaf2preview/2.htm,FALSE,NVIDIA Free-to-Play,http://www.overclockersclub.com/reviews/nvidiaf2preview/,,
2013-02-17,PlanetSide 2,http://www.overclockersclub.com/reviews/nvidiaf2preview/3.htm,FALSE,NVIDIA Free-to-Play,http://www.overclockersclub.com/reviews/nvidiaf2preview/,,
2013-02-17,World of Tanks,http://www.overclockersclub.com/reviews/nvidiaf2preview/4.htm,FALSE,NVIDIA Free-to-Play,http://www.overclockersclub.com/reviews/nvidiaf2preview/,,
2013-03-10,Humble Bundle with Android 5,http://www.overclockersclub.com/reviews/hbandroid5review/,FALSE,,,,
2013-03-10,Beat Hazard Ultra,http://www.overclockersclub.com/reviews/hbandroid5review/2.htm,FALSE,Humble Bundle with Android 5,http://www.overclockersclub.com/reviews/hbandroid5review/,,
2013-03-10,Dynamite Jack,http://www.overclockersclub.com/reviews/hbandroid5review/3.htm,FALSE,Humble Bundle with Android 5,http://www.overclockersclub.com/reviews/hbandroid5review/,,
2013-03-10,NightSky HD,http://www.overclockersclub.com/reviews/hbandroid5review/4.htm,FALSE,Humble Bundle with Android 5,http://www.overclockersclub.com/reviews/hbandroid5review/,,
2013-03-10,Solar 2,http://www.overclockersclub.com/reviews/hbandroid5review/5.htm,FALSE,Humble Bundle with Android 5,http://www.overclockersclub.com/reviews/hbandroid5review/,,
2013-03-10,Super Hexagon,http://www.overclockersclub.com/reviews/hbandroid5review/7.htm,FALSE,Humble Bundle with Android 5,http://www.overclockersclub.com/reviews/hbandroid5review/,,
2013-04-16,Bioshock Infinite,http://www.overclockersclub.com/reviews/bioshock_infinite_review/,FALSE,,,,10:45:00
2013-05-09,StarDrive,http://www.overclockersclub.com/reviews/stardrive_review/,FALSE,,,,
2013-05-12,FEZ,http://www.overclockersclub.com/reviews/fez_review/,FALSE,,,,05:07:00
2013-06-06,Metro: Last Light,http://www.overclockersclub.com/reviews/metro_last_light_review/,FALSE,,,,11:00:00
2013-06-21,Humble Bundle with Android 6,http://www.overclockersclub.com/reviews/hb_android_6_review/,FALSE,,,,
2013-06-21,Aquaria,http://www.overclockersclub.com/reviews/hb_android_6_review/2.htm,FALSE,Humble Bundle with Android 6,http://www.overclockersclub.com/reviews/hb_android_6_review/,,
2013-06-21,Fractal,http://www.overclockersclub.com/reviews/hb_android_6_review/3.htm,FALSE,Humble Bundle with Android 6,http://www.overclockersclub.com/reviews/hb_android_6_review/,,
2013-06-21,Organ Trail,http://www.overclockersclub.com/reviews/hb_android_6_review/4.htm,FALSE,Humble Bundle with Android 6,http://www.overclockersclub.com/reviews/hb_android_6_review/,,
2013-06-21,Stealth Bastard Deluxe,http://www.overclockersclub.com/reviews/hb_android_6_review/5.htm,FALSE,Humble Bundle with Android 6,http://www.overclockersclub.com/reviews/hb_android_6_review/,,
2013-06-21,Broken Sword,http://www.overclockersclub.com/reviews/hb_android_6_review/6.htm,FALSE,Humble Bundle with Android 6,http://www.overclockersclub.com/reviews/hb_android_6_review/,,
2013-06-21,Frozen Synapse,http://www.overclockersclub.com/reviews/hb_android_6_review/7.htm,FALSE,Humble Bundle with Android 6,http://www.overclockersclub.com/reviews/hb_android_6_review/,,
2013-06-21,Pulse,http://www.overclockersclub.com/reviews/hb_android_6_review/8.htm,FALSE,Humble Bundle with Android 6,http://www.overclockersclub.com/reviews/hb_android_6_review/,,
2013-08-06,Saints Row: The Third,http://www.overclockersclub.com/reviews/saints_row_3_review/,FALSE,,,,36:00:00
2013-08-08,Rise of the Triad (2013),http://www.overclockersclub.com/reviews/rise_of_the_triad_review/,FALSE,,,,
2013-08-08,Saints Row 2,http://www.overclockersclub.com/reviews/saints_row_2_review/,FALSE,,,,16:00:00
2013-08-21,Mirror's Edge,http://www.overclockersclub.com/reviews/mirrors_edge_review/,FALSE,,,,03:44:00
2013-08-28,Saints Row IV,http://www.overclockersclub.com/reviews/saints_row_4_review/,FALSE,,,,22:00:00
2013-09-03,Tom Clancy's Splinter Cell Blacklist,http://www.overclockersclub.com/reviews/splinter_cell_blacklist_review/,TRUE,,,,11:00:00
2013-09-04,NVIDIA Free-to-Play 2,http://www.overclockersclub.com/reviews/nvidia_f2p2_review/,FALSE,,,,
2013-09-04,Warframe,http://www.overclockersclub.com/reviews/nvidia_f2p2_review/2.htm,FALSE,NVIDIA Free-to-Play 2,http://www.overclockersclub.com/reviews/nvidia_f2p2_review/,,
2013-09-04,Marvel Heroes,http://www.overclockersclub.com/reviews/nvidia_f2p2_review/3.htm,FALSE,NVIDIA Free-to-Play 2,http://www.overclockersclub.com/reviews/nvidia_f2p2_review/,,
2013-09-04,Dungeon \& Dragons - Neverwinter,http://www.overclockersclub.com/reviews/nvidia_f2p2_review/4.htm,FALSE,NVIDIA Free-to-Play 2,http://www.overclockersclub.com/reviews/nvidia_f2p2_review/,,
2013-09-17,Humble Indie Bundle 9,http://www.overclockersclub.com/reviews/hib_9_review/,FALSE,,,,
2013-09-17,Brutal Legend,http://www.overclockersclub.com/reviews/hib_9_review/2.htm,FALSE,Humble Indie Bundle 9,http://www.overclockersclub.com/reviews/hib_9_review/,,
2013-09-17,Eets Munchies Beta,http://www.overclockersclub.com/reviews/hib_9_review/3.htm,FALSE,Humble Indie Bundle 9,http://www.overclockersclub.com/reviews/hib_9_review/,,
2013-09-17,Mark of the Ninja,http://www.overclockersclub.com/reviews/hib_9_review/4.htm,FALSE,Humble Indie Bundle 9,http://www.overclockersclub.com/reviews/hib_9_review/,,
2013-09-17,Trine 2,http://www.overclockersclub.com/reviews/hib_9_review/5.htm,FALSE,Humble Indie Bundle 9,http://www.overclockersclub.com/reviews/hib_9_review/,,
2013-09-17,FEZ,http://www.overclockersclub.com/reviews/hib_9_review/6.htm,FALSE,Humble Indie Bundle 9,http://www.overclockersclub.com/reviews/hib_9_review/,,
2013-09-17,FTL: Faster Than Light,http://www.overclockersclub.com/reviews/hib_9_review/7.htm,FALSE,Humble Indie Bundle 9,http://www.overclockersclub.com/reviews/hib_9_review/,,
